"var_idx","mp_freq","cd_freq","cl_freq","job_id"
1,0.92,0.88,0.96,1
2,0.9,0.88,0.9,1
3,0.9,0.9,0.8,1
4,0.94,0.88,0.94,1
5,0.86,0.86,0.92,1
6,0.96,0.98,0.96,1
7,0.88,0.88,0.88,1
8,0.44,0.38,0.46,1
9,0.42,0.48,0.44,1
10,0.4,0.44,0.48,1
11,0.26,0.26,0.4,1
12,0.34,0.4,0.4,1
13,0.36,0.4,0.36,1
14,0.36,0.4,0.34,1
15,0.38,0.36,0.5,1
16,0.44,0.38,0.48,1
17,0.5,0.46,0.6,1
18,0.34,0.34,0.36,1
19,0.2,0.24,0.3,1
20,0.26,0.28,0.4,1
1,0.92,0.9,0.96,2
2,0.9,0.84,0.92,2
3,0.9,0.9,0.82,2
4,0.92,0.88,0.94,2
5,0.88,0.86,0.92,2
6,0.96,0.98,0.96,2
7,0.88,0.88,0.88,2
8,0.46,0.32,0.42,2
9,0.44,0.48,0.46,2
10,0.44,0.36,0.44,2
11,0.28,0.26,0.4,2
12,0.32,0.42,0.4,2
13,0.36,0.42,0.34,2
14,0.38,0.4,0.34,2
15,0.36,0.36,0.52,2
16,0.42,0.36,0.46,2
17,0.5,0.44,0.64,2
18,0.34,0.34,0.36,2
19,0.2,0.26,0.28,2
20,0.28,0.3,0.42,2
1,0.94,0.86,0.92,3
2,0.96,0.92,0.92,3
3,0.9,0.9,0.9,3
4,0.94,0.9,0.9,3
5,0.9,0.84,0.88,3
6,0.92,0.88,0.92,3
7,0.92,0.92,0.96,3
8,0.36,0.42,0.38,3
9,0.3,0.4,0.42,3
10,0.42,0.4,0.5,3
11,0.26,0.32,0.3,3
12,0.36,0.44,0.32,3
13,0.28,0.32,0.36,3
14,0.44,0.42,0.42,3
15,0.44,0.4,0.4,3
16,0.32,0.42,0.42,3
17,0.3,0.28,0.4,3
18,0.22,0.22,0.3,3
19,0.2,0.26,0.34,3
20,0.36,0.32,0.4,3
1,0.94,0.84,0.92,4
2,0.96,0.9,0.92,4
3,0.9,0.88,0.9,4
4,0.94,0.88,0.9,4
5,0.9,0.84,0.88,4
6,0.9,0.88,0.92,4
7,0.92,0.9,0.96,4
8,0.46,0.36,0.38,4
9,0.44,0.32,0.4,4
10,0.5,0.4,0.5,4
11,0.26,0.26,0.32,4
12,0.34,0.4,0.32,4
13,0.3,0.32,0.36,4
14,0.4,0.42,0.4,4
15,0.42,0.42,0.42,4
16,0.32,0.44,0.42,4
17,0.3,0.22,0.4,4
18,0.18,0.26,0.3,4
19,0.2,0.28,0.38,4
20,0.38,0.3,0.4,4
1,1,0.98,1,5
2,1,0.98,1,5
3,0.98,0.96,0.98,5
4,0.98,0.98,0.94,5
5,0.98,0.92,0.96,5
6,0.98,0.98,1,5
7,1,1,0.94,5
8,0.44,0.46,0.56,5
9,0.52,0.5,0.62,5
10,0.42,0.42,0.4,5
11,0.38,0.4,0.38,5
12,0.38,0.4,0.44,5
13,0.42,0.56,0.42,5
14,0.38,0.48,0.4,5
15,0.44,0.44,0.44,5
16,0.5,0.48,0.52,5
17,0.46,0.52,0.56,5
18,0.38,0.44,0.42,5
19,0.32,0.36,0.44,5
20,0.34,0.34,0.36,5
1,1,0.98,1,6
2,1,0.98,1,6
3,0.98,0.96,0.96,6
4,0.98,0.98,0.94,6
5,0.94,0.92,0.98,6
6,0.98,0.98,1,6
7,1,1,0.94,6
8,0.54,0.48,0.52,6
9,0.64,0.54,0.58,6
10,0.5,0.42,0.4,6
11,0.38,0.42,0.34,6
12,0.38,0.42,0.42,6
13,0.36,0.54,0.48,6
14,0.38,0.44,0.38,6
15,0.44,0.42,0.44,6
16,0.48,0.48,0.54,6
17,0.46,0.52,0.54,6
18,0.4,0.44,0.42,6
19,0.34,0.34,0.38,6
20,0.34,0.36,0.36,6
1,0.98,0.96,0.96,7
2,1,1,0.96,7
3,0.98,0.98,0.98,7
4,0.98,0.98,0.94,7
5,0.96,0.96,0.96,7
6,1,0.98,0.98,7
7,1,0.98,0.98,7
8,0.5,0.56,0.52,7
9,0.32,0.42,0.44,7
10,0.4,0.42,0.42,7
11,0.36,0.36,0.38,7
12,0.34,0.54,0.52,7
13,0.4,0.5,0.44,7
14,0.4,0.54,0.5,7
15,0.34,0.44,0.5,7
16,0.38,0.48,0.38,7
17,0.28,0.38,0.48,7
18,0.3,0.3,0.38,7
19,0.26,0.58,0.36,7
20,0.28,0.32,0.38,7
1,0.96,0.96,0.96,8
2,1,1,0.96,8
3,0.98,0.98,0.98,8
4,0.98,0.98,0.94,8
5,0.94,0.94,0.96,8
6,0.98,1,0.98,8
7,1,0.98,0.98,8
8,0.58,0.48,0.48,8
9,0.54,0.46,0.42,8
10,0.64,0.5,0.4,8
11,0.26,0.36,0.38,8
12,0.36,0.52,0.52,8
13,0.36,0.46,0.48,8
14,0.4,0.54,0.52,8
15,0.38,0.46,0.52,8
16,0.32,0.48,0.34,8
17,0.28,0.36,0.44,8
18,0.2,0.28,0.36,8
19,0.3,0.56,0.38,8
20,0.28,0.38,0.4,8
1,0.88,0.88,0.74,9
2,0.92,0.88,0.7,9
3,0.84,0.84,0.66,9
4,0.9,0.88,0.72,9
5,0.86,0.86,0.68,9
6,0.88,0.86,0.72,9
7,0.84,0.84,0.7,9
8,0.32,0.3,0.28,9
9,0.3,0.36,0.26,9
10,0.38,0.42,0.32,9
11,0.28,0.38,0.3,9
12,0.32,0.32,0.28,9
13,0.36,0.42,0.32,9
14,0.4,0.36,0.34,9
15,0.42,0.34,0.4,9
16,0.38,0.4,0.34,9
17,0.42,0.44,0.42,9
18,0.34,0.32,0.34,9
19,0.24,0.34,0.26,9
20,0.34,0.26,0.22,9
1,0.9,0.88,0.72,10
2,0.9,0.92,0.68,10
3,0.82,0.82,0.64,10
4,0.88,0.92,0.74,10
5,0.84,0.86,0.68,10
6,0.86,0.86,0.72,10
7,0.82,0.86,0.68,10
8,0.32,0.4,0.28,10
9,0.4,0.42,0.24,10
10,0.44,0.44,0.34,10
11,0.3,0.4,0.3,10
12,0.32,0.36,0.26,10
13,0.38,0.42,0.34,10
14,0.36,0.38,0.34,10
15,0.42,0.36,0.36,10
16,0.36,0.38,0.34,10
17,0.4,0.44,0.38,10
18,0.38,0.36,0.34,10
19,0.26,0.34,0.22,10
20,0.36,0.24,0.2,10
1,0.8,0.76,0.78,11
2,0.84,0.78,0.8,11
3,0.88,0.86,0.78,11
4,0.84,0.8,0.86,11
5,0.8,0.68,0.8,11
6,0.82,0.78,0.84,11
7,0.9,0.86,0.84,11
8,0.28,0.36,0.36,11
9,0.26,0.32,0.28,11
10,0.36,0.32,0.44,11
11,0.18,0.24,0.28,11
12,0.24,0.3,0.3,11
13,0.34,0.34,0.36,11
14,0.32,0.32,0.38,11
15,0.28,0.42,0.38,11
16,0.18,0.32,0.34,11
17,0.22,0.32,0.32,11
18,0.1,0.16,0.2,11
19,0.32,0.4,0.28,11
20,0.28,0.32,0.34,11
1,0.78,0.76,0.8,12
2,0.8,0.78,0.8,12
3,0.88,0.86,0.82,12
4,0.78,0.78,0.9,12
5,0.84,0.72,0.82,12
6,0.78,0.76,0.88,12
7,0.88,0.8,0.86,12
8,0.38,0.34,0.36,12
9,0.42,0.36,0.3,12
10,0.38,0.32,0.46,12
11,0.22,0.28,0.26,12
12,0.2,0.32,0.3,12
13,0.32,0.3,0.36,12
14,0.32,0.38,0.4,12
15,0.28,0.38,0.38,12
16,0.18,0.28,0.32,12
17,0.24,0.32,0.32,12
18,0.12,0.2,0.22,12
19,0.28,0.42,0.28,12
20,0.3,0.38,0.34,12
1,0.98,1,0.86,13
2,0.96,0.96,0.88,13
3,0.92,0.96,0.78,13
4,0.98,1,0.9,13
5,0.98,0.98,0.92,13
6,1,1,0.86,13
7,0.96,0.96,0.8,13
8,0.5,0.54,0.34,13
9,0.42,0.5,0.28,13
10,0.34,0.4,0.24,13
11,0.32,0.4,0.26,13
12,0.34,0.44,0.32,13
13,0.4,0.46,0.5,13
14,0.38,0.46,0.38,13
15,0.52,0.54,0.42,13
16,0.5,0.52,0.38,13
17,0.54,0.62,0.46,13
18,0.46,0.54,0.36,13
19,0.42,0.54,0.28,13
20,0.38,0.4,0.28,13
1,0.96,1,0.86,14
2,0.96,0.96,0.88,14
3,0.94,0.96,0.82,14
4,0.98,1,0.9,14
5,0.98,0.96,0.9,14
6,1,1,0.88,14
7,0.96,0.98,0.82,14
8,0.5,0.46,0.32,14
9,0.48,0.54,0.3,14
10,0.32,0.42,0.2,14
11,0.32,0.44,0.26,14
12,0.36,0.44,0.3,14
13,0.4,0.48,0.46,14
14,0.38,0.46,0.34,14
15,0.52,0.56,0.42,14
16,0.52,0.56,0.42,14
17,0.54,0.64,0.44,14
18,0.42,0.58,0.36,14
19,0.42,0.56,0.26,14
20,0.38,0.42,0.28,14
1,0.9,0.86,0.88,15
2,1,0.92,0.88,15
3,0.96,0.88,0.92,15
4,0.94,0.9,0.84,15
5,0.94,0.84,0.86,15
6,0.96,0.9,0.86,15
7,0.98,0.88,0.9,15
8,0.34,0.4,0.44,15
9,0.28,0.32,0.34,15
10,0.42,0.4,0.4,15
11,0.3,0.38,0.4,15
12,0.32,0.36,0.46,15
13,0.42,0.44,0.42,15
14,0.38,0.34,0.46,15
15,0.26,0.34,0.38,15
16,0.3,0.4,0.3,15
17,0.32,0.38,0.46,15
18,0.18,0.28,0.34,15
19,0.32,0.44,0.34,15
20,0.28,0.32,0.3,15
1,0.9,0.82,0.88,16
2,1,0.88,0.88,16
3,0.94,0.86,0.9,16
4,0.9,0.86,0.84,16
5,0.92,0.82,0.86,16
6,0.96,0.86,0.84,16
7,0.98,0.88,0.9,16
8,0.5,0.36,0.34,16
9,0.48,0.4,0.4,16
10,0.54,0.42,0.42,16
11,0.2,0.34,0.4,16
12,0.28,0.32,0.4,16
13,0.3,0.38,0.36,16
14,0.32,0.34,0.48,16
15,0.22,0.34,0.38,16
16,0.28,0.38,0.28,16
17,0.3,0.42,0.46,16
18,0.2,0.22,0.32,16
19,0.26,0.44,0.34,16
20,0.26,0.28,0.3,16
1,0.82,0.88,0.4,17
2,0.88,0.86,0.28,17
3,0.8,0.84,0.22,17
4,0.76,0.8,0.32,17
5,0.78,0.86,0.2,17
6,0.88,0.9,0.32,17
7,0.72,0.82,0.26,17
8,0.36,0.34,0.16,17
9,0.28,0.38,0.08,17
10,0.36,0.32,0.14,17
11,0.38,0.36,0.22,17
12,0.32,0.32,0.08,17
13,0.42,0.44,0.12,17
14,0.32,0.32,0.1,17
15,0.44,0.4,0.16,17
16,0.4,0.38,0.16,17
17,0.42,0.36,0.22,17
18,0.32,0.36,0.18,17
19,0.4,0.4,0.16,17
20,0.24,0.28,0.12,17
1,0.8,0.88,0.4,18
2,0.88,0.86,0.28,18
3,0.8,0.82,0.22,18
4,0.74,0.8,0.32,18
5,0.78,0.86,0.2,18
6,0.88,0.9,0.32,18
7,0.72,0.82,0.26,18
8,0.36,0.36,0.18,18
9,0.28,0.36,0.08,18
10,0.4,0.32,0.12,18
11,0.4,0.36,0.2,18
12,0.34,0.32,0.08,18
13,0.44,0.46,0.12,18
14,0.3,0.34,0.1,18
15,0.42,0.42,0.16,18
16,0.38,0.36,0.18,18
17,0.42,0.36,0.22,18
18,0.3,0.36,0.18,18
19,0.38,0.42,0.16,18
20,0.24,0.28,0.12,18
1,0.66,0.5,0.66,19
2,0.58,0.6,0.58,19
3,0.76,0.7,0.58,19
4,0.66,0.62,0.64,19
5,0.62,0.52,0.62,19
6,0.68,0.6,0.68,19
7,0.72,0.56,0.62,19
8,0.28,0.22,0.18,19
9,0.28,0.22,0.18,19
10,0.22,0.26,0.24,19
11,0.22,0.24,0.24,19
12,0.18,0.22,0.2,19
13,0.24,0.24,0.32,19
14,0.22,0.28,0.3,19
15,0.2,0.24,0.26,19
16,0.16,0.2,0.18,19
17,0.22,0.26,0.22,19
18,0.14,0.22,0.2,19
19,0.28,0.32,0.24,19
20,0.18,0.22,0.22,19
1,0.64,0.52,0.64,20
2,0.6,0.62,0.58,20
3,0.72,0.7,0.56,20
4,0.66,0.62,0.62,20
5,0.6,0.54,0.64,20
6,0.62,0.62,0.68,20
7,0.7,0.58,0.64,20
8,0.3,0.22,0.22,20
9,0.4,0.26,0.2,20
10,0.3,0.2,0.2,20
11,0.22,0.22,0.24,20
12,0.18,0.18,0.18,20
13,0.24,0.24,0.28,20
14,0.22,0.24,0.3,20
15,0.22,0.24,0.22,20
16,0.14,0.2,0.18,20
17,0.24,0.2,0.2,20
18,0.12,0.2,0.2,20
19,0.28,0.26,0.24,20
20,0.2,0.2,0.18,20
1,0.96,1,0.52,21
2,0.96,0.96,0.46,21
3,0.96,0.96,0.44,21
4,1,0.98,0.44,21
5,0.94,0.88,0.4,21
6,0.98,0.98,0.42,21
7,0.96,0.98,0.48,21
8,0.52,0.56,0.3,21
9,0.46,0.56,0.2,21
10,0.4,0.46,0.18,21
11,0.5,0.52,0.34,21
12,0.3,0.36,0.12,21
13,0.46,0.48,0.28,21
14,0.36,0.44,0.16,21
15,0.58,0.46,0.18,21
16,0.4,0.48,0.24,21
17,0.42,0.42,0.2,21
18,0.42,0.44,0.2,21
19,0.42,0.54,0.22,21
20,0.42,0.48,0.26,21
1,0.96,1,0.52,22
2,0.96,0.96,0.44,22
3,0.96,0.96,0.44,22
4,1,0.98,0.42,22
5,0.94,0.9,0.4,22
6,0.96,0.98,0.42,22
7,0.96,0.98,0.46,22
8,0.52,0.52,0.24,22
9,0.5,0.54,0.2,22
10,0.5,0.5,0.2,22
11,0.48,0.54,0.36,22
12,0.3,0.36,0.14,22
13,0.46,0.46,0.3,22
14,0.4,0.46,0.18,22
15,0.62,0.46,0.18,22
16,0.42,0.5,0.24,22
17,0.44,0.46,0.22,22
18,0.44,0.52,0.22,22
19,0.42,0.52,0.26,22
20,0.4,0.46,0.26,22
1,0.8,0.62,0.72,23
2,0.82,0.64,0.68,23
3,0.82,0.76,0.74,23
4,0.82,0.66,0.68,23
5,0.78,0.7,0.72,23
6,0.86,0.6,0.68,23
7,0.8,0.66,0.64,23
8,0.36,0.28,0.34,23
9,0.3,0.24,0.3,23
10,0.32,0.34,0.3,23
11,0.24,0.26,0.3,23
12,0.22,0.3,0.26,23
13,0.4,0.32,0.34,23
14,0.24,0.24,0.34,23
15,0.32,0.2,0.24,23
16,0.24,0.24,0.26,23
17,0.26,0.36,0.3,23
18,0.26,0.18,0.26,23
19,0.38,0.32,0.28,23
20,0.24,0.2,0.32,23
1,0.8,0.62,0.68,24
2,0.74,0.62,0.68,24
3,0.8,0.72,0.76,24
4,0.8,0.68,0.66,24
5,0.76,0.64,0.7,24
6,0.86,0.6,0.68,24
7,0.74,0.66,0.64,24
8,0.44,0.28,0.26,24
9,0.46,0.26,0.28,24
10,0.48,0.22,0.34,24
11,0.2,0.24,0.28,24
12,0.22,0.32,0.18,24
13,0.36,0.36,0.32,24
14,0.22,0.22,0.32,24
15,0.26,0.22,0.24,24
16,0.28,0.22,0.22,24
17,0.22,0.32,0.36,24
18,0.18,0.18,0.22,24
19,0.36,0.34,0.28,24
20,0.22,0.24,0.32,24
1,0.88,0.82,0.88,25
2,0.9,0.76,0.8,25
3,0.8,0.7,0.74,25
4,0.92,0.8,0.88,25
5,0.92,0.86,0.84,25
6,0.88,0.82,0.88,25
7,0.8,0.7,0.76,25
8,0.16,0.2,0.26,25
9,0.16,0.16,0.22,25
10,0.34,0.26,0.34,25
11,0.16,0.24,0.16,25
12,0.24,0.16,0.2,25
13,0.24,0.14,0.28,25
14,0.18,0.14,0.22,25
15,0.2,0.22,0.18,25
16,0.14,0.2,0.16,25
17,0.16,0.14,0.22,25
18,0.14,0.12,0.16,25
19,0.22,0.2,0.32,25
20,0.12,0.22,0.18,25
21,0.2,0.14,0.1,25
22,0.16,0.1,0.18,25
23,0.26,0.24,0.24,25
24,0.2,0.1,0.26,25
25,0.12,0.16,0.18,25
26,0.3,0.16,0.32,25
27,0.2,0.18,0.18,25
28,0.2,0.2,0.28,25
29,0.24,0.16,0.26,25
30,0.24,0.18,0.36,25
31,0.14,0.1,0.26,25
32,0.16,0.14,0.1,25
33,0.18,0.2,0.24,25
34,0.18,0.18,0.22,25
35,0.16,0.12,0.14,25
36,0.24,0.18,0.24,25
37,0.28,0.2,0.24,25
38,0.2,0.12,0.22,25
39,0.26,0.16,0.32,25
40,0.14,0.12,0.14,25
41,0.2,0.14,0.28,25
42,0.16,0.14,0.22,25
43,0.18,0.18,0.26,25
44,0.2,0.14,0.24,25
45,0.22,0.26,0.26,25
46,0.14,0.16,0.12,25
47,0.16,0.16,0.18,25
48,0.2,0.12,0.2,25
49,0.2,0.1,0.18,25
50,0.22,0.16,0.24,25
1,0.88,0.82,0.88,26
2,0.9,0.8,0.8,26
3,0.8,0.68,0.74,26
4,0.92,0.78,0.88,26
5,0.92,0.84,0.84,26
6,0.88,0.82,0.86,26
7,0.8,0.68,0.76,26
8,0.2,0.2,0.28,26
9,0.18,0.1,0.18,26
10,0.38,0.24,0.36,26
11,0.16,0.22,0.16,26
12,0.24,0.2,0.2,26
13,0.24,0.16,0.3,26
14,0.18,0.14,0.22,26
15,0.2,0.2,0.2,26
16,0.14,0.2,0.16,26
17,0.18,0.16,0.22,26
18,0.14,0.08,0.18,26
19,0.22,0.2,0.32,26
20,0.12,0.2,0.2,26
21,0.2,0.14,0.16,26
22,0.16,0.1,0.18,26
23,0.24,0.24,0.26,26
24,0.18,0.1,0.26,26
25,0.12,0.18,0.18,26
26,0.28,0.18,0.34,26
27,0.2,0.18,0.2,26
28,0.2,0.22,0.28,26
29,0.24,0.14,0.26,26
30,0.24,0.18,0.36,26
31,0.16,0.1,0.28,26
32,0.14,0.14,0.1,26
33,0.18,0.18,0.24,26
34,0.18,0.18,0.22,26
35,0.16,0.12,0.14,26
36,0.24,0.18,0.26,26
37,0.28,0.18,0.26,26
38,0.18,0.14,0.24,26
39,0.26,0.16,0.32,26
40,0.14,0.12,0.14,26
41,0.2,0.14,0.26,26
